"","police_call_block","Aggravated_assault","Arson","Burglary","Larceny","Robbery","vehicle_theft"
"1","0 block 81 townsend st   s",NA,NA,NA,1,NA,NA
"2","0 block academy green  ",NA,NA,1,NA,NA,NA
"3","0 block baker av  ",1,NA,NA,NA,NA,NA
"4","0 block bear st  ",NA,1,NA,NA,NA,NA
"5","0 block beattie st  ",NA,NA,NA,NA,NA,1
"6","0 block bellevue ave/hudson  ",1,NA,NA,NA,NA,NA
"7","0 block bradford ct  ",1,NA,NA,NA,NA,NA
"8","0 block brattle rd  ",NA,NA,1,NA,NA,NA
"9","0 block burnet park dr  ",NA,NA,NA,NA,NA,1
"10","0 block cannon st at fernwoo  ",1,NA,NA,NA,NA,NA
"11","0 block catherine and hickor st  ",1,NA,NA,NA,NA,NA
"12","0 block centennial dr  ",1,NA,1,3,NA,1
"13","0 block childrens cir  ",NA,NA,NA,1,NA,NA
"14","0 block clinton st  ",NA,NA,NA,1,NA,NA
"15","0 block comstock av  ",NA,NA,NA,NA,1,NA
"16","0 block corcoran ct  ",NA,NA,NA,2,NA,NA
"17","0 block costello ct  ",1,NA,NA,NA,NA,NA
"18","0 block crawford av  ",NA,NA,NA,1,NA,NA
"19","0 block dablon ct  ",NA,NA,NA,NA,1,NA
"20","0 block delaware st  ",NA,NA,NA,NA,NA,1
"21","0 block destiny  usa dr  ",NA,NA,NA,3,NA,NA
"22","0 block destiny dr  ",NA,NA,NA,4,NA,NA
"23","0 block destiny usa dr  ",NA,NA,8,145,4,NA
"24","0 block destiny usa pl  ",NA,NA,NA,1,NA,NA
"25","0 block dupli park dr  ",NA,NA,NA,1,NA,NA
"26","0 block  taylor st   e",NA,NA,NA,1,NA,NA
"27","0 block elmhurst av  ",NA,NA,1,NA,NA,NA
"28","0 block hatch st  ",NA,NA,NA,NA,NA,1
"29","0 block hawley av  ",NA,NA,NA,1,NA,NA
"30","0 block hiawatha blvd 81   n",NA,NA,NA,1,NA,NA
"31","0 block highland st  ",NA,NA,NA,1,NA,NA
"32","0 block hopper rd  ",1,NA,NA,NA,NA,NA
"33","0 block james heath rd  ",NA,NA,NA,1,NA,NA
"34","0 block kenmore av  ",NA,1,NA,NA,NA,NA
"35","0 block kingsley pl  ",NA,NA,NA,1,NA,NA
"36","0 block kirk park dr  ",1,NA,NA,NA,NA,NA
"37","0 block lawrence st  ",NA,NA,NA,NA,1,NA
"38","0 block marshall st  ",1,NA,NA,1,NA,NA
"39","0 block mertens av  ",NA,NA,NA,1,NA,NA
"40","0 block midland av  ",NA,NA,NA,NA,NA,1
"41","0 block nb west st to eb i 690 ramp  ",NA,NA,NA,1,NA,NA
"42","0 block northcliffe rd  ",NA,NA,NA,1,NA,NA
"43","0 block nursery ln  ",NA,NA,NA,NA,NA,1
"44","0 block onondaga av  ",1,NA,NA,NA,NA,NA
"45","0 block onondaga creek walk  ",NA,NA,NA,NA,1,NA
"46","0 block park and lakeview av  ",NA,NA,NA,NA,1,NA
"47","0 block predential plz  ",NA,NA,NA,1,NA,NA
"48","0 block presidential ct  ",NA,NA,7,NA,NA,NA
"49","0 block presidential plz  ",NA,NA,4,3,NA,NA
"50","0 block robincroft rd  ",NA,NA,NA,1,NA,NA
"51","0 block  geddes st   s",NA,NA,NA,NA,NA,1
"52","0 block  salina st   s",2,NA,NA,NA,NA,NA
"53","0 block  state st   s",1,NA,NA,NA,NA,NA
"54","0 block schoeneck ct  ",NA,NA,NA,NA,NA,1
"55","0 block seymour st  ",NA,NA,NA,1,NA,NA
"56","0 block shonnard st  ",1,NA,NA,NA,NA,NA
"57","0 block spring st  ",1,NA,NA,NA,NA,NA
"58","0 block stone ct  ",NA,NA,1,NA,NA,NA
"59","0 block unknown  ",4,NA,NA,1,NA,1
"60","0 block village dr  ",1,NA,NA,NA,NA,NA
"61","0 block  fayette st  ",NA,NA,NA,1,NA,NA
"62","0 block  onondaga st  ",NA,NA,NA,NA,1,NA
"63","0 block  pleasant av  ",NA,NA,NA,NA,NA,1
"64","0 block walsh cir  ",NA,NA,NA,5,1,NA
"65","0 block watertree dr  ",NA,NA,NA,1,NA,NA
"66","0 block weiser ct  ",NA,NA,NA,NA,NA,1
"67","0 block wellesley rd  ",NA,NA,NA,1,NA,NA
"68","0 block will ct  ",1,NA,1,NA,NA,NA
"69","1 block destiny usa dr  ",4,NA,8,270,5,2
"70","100 block air cargo rd  ",NA,NA,NA,1,NA,NA
"71","100 block albert ter  ",NA,NA,NA,1,NA,NA
"72","100 block alexander av  ",NA,NA,NA,1,NA,NA
"73","100 block alpine dr  ",1,NA,NA,NA,NA,NA
"74","100 block alton st  ",NA,NA,1,NA,NA,NA
"75","100 block amherst av  ",1,NA,NA,NA,NA,NA
"76","100 block anderson av  ",NA,NA,NA,1,NA,NA
"77","100 block angelou ter  ",1,NA,NA,2,NA,NA
"78","100 block annetta st  ",NA,NA,1,NA,NA,NA
"79","100 block archer rd  ",NA,NA,NA,1,NA,NA
"80","100 block armstrong pl  ",1,NA,NA,2,NA,NA
"81","100 block arnett av  ",NA,NA,NA,1,NA,NA
"82","100 block arnts pl  ",NA,NA,NA,1,NA,NA
"83","100 block arsenal dr  ",NA,NA,1,NA,NA,NA
"84","100 block ash st  ",NA,NA,NA,1,NA,NA
"85","100 block avery av  ",NA,NA,1,NA,NA,NA
"86","100 block avon rd  ",NA,NA,NA,1,NA,NA
"87","100 block avondale pl  ",NA,NA,2,NA,NA,NA
"88","100 block baldwin av  ",NA,NA,NA,1,NA,NA
"89","100 block ball cir  ",NA,NA,NA,1,NA,NA
"90","100 block ballantyne rd  ",3,NA,1,4,1,NA
"91","100 block ballard av  ",NA,NA,NA,2,NA,NA
"92","100 block beattie st  ",NA,NA,1,1,NA,1
"93","100 block becker st  ",NA,NA,2,NA,NA,NA
"94","100 block beecher st  ",NA,NA,1,NA,NA,NA
"95","100 block bellevue av  ",NA,NA,NA,1,1,NA
"96","100 block benedict av  ",NA,NA,1,1,NA,NA
"97","100 block berger av  ",NA,NA,NA,1,NA,1
"98","100 block berkeley dr  ",NA,NA,NA,1,NA,NA
"99","100 block berkshire av  ",NA,NA,NA,2,NA,NA
"100","100 block berwyn av  ",NA,NA,NA,1,NA,NA
"101","100 block bishop av  ",NA,NA,NA,1,NA,NA
"102","100 block blaine st  ",NA,NA,1,2,NA,NA
"103","100 block blk peters st  ",1,NA,NA,NA,NA,NA
"104","100 block blossom rd  ",NA,NA,1,1,NA,NA
"105","100 block briggs st  ",NA,NA,1,NA,NA,NA
"106","100 block bristol pl  ",NA,NA,NA,1,NA,NA
"107","100 block broad st  ",NA,NA,NA,1,NA,NA
"108","100 block bronson st  ",NA,NA,1,NA,NA,NA
"109","100 block brookford rd  ",NA,NA,1,NA,NA,NA
"110","100 block burnet park dr  ",NA,NA,1,NA,NA,NA
"111","100 block burt st  ",NA,NA,NA,1,NA,NA
"112","100 block cambridge st  ",NA,NA,NA,1,NA,NA
"113","100 block camp av  ",NA,NA,NA,NA,1,NA
"114","100 block cannon st  ",NA,NA,1,NA,NA,NA
"115","100 block carlisle st  ",NA,NA,NA,1,NA,NA
"116","100 block centennial dr  ",NA,NA,NA,1,NA,NA
"117","100 block chaffee av     e",NA,NA,1,NA,NA,NA
"118","100 block chaffee av  ",1,NA,NA,NA,NA,NA
"119","100 block charmouth dr  ",NA,NA,NA,NA,NA,1
"120","100 block cheney st  ",NA,1,1,2,1,NA
"121","100 block clairmonte av  ",NA,NA,NA,NA,NA,1
"122","100 block clarendon st  ",NA,NA,1,4,NA,NA
"123","100 block clarke st  ",NA,NA,NA,1,NA,NA
"124","100 block cleveland av  ",NA,NA,NA,1,1,NA
"125","100 block clifton pl  ",NA,NA,NA,2,NA,NA
"126","100 block clyde av  ",NA,NA,NA,1,NA,NA
"127","100 block colby av  ",NA,NA,1,2,NA,NA
"128","100 block college pl  ",NA,NA,1,NA,NA,NA
"129","100 block commonwealth av  ",1,NA,NA,NA,NA,NA
"130","100 block comstock av  ",NA,NA,1,3,NA,NA
"131","100 block comstock pl  ",NA,NA,2,1,NA,1
"132","100 block concord pl  ",NA,NA,NA,1,NA,NA
"133","100 block conifer dr  ",1,NA,NA,NA,NA,NA
"134","100 block cook av  ",NA,NA,NA,1,NA,NA
"135","100 block coolidge av  ",2,NA,2,1,NA,NA
"136","100 block cordova st  ",NA,NA,1,NA,NA,NA
"137","100 block cortland av  ",1,NA,NA,NA,1,NA
"138","100 block cortland pl  ",1,NA,NA,NA,NA,NA
"139","100 block court ter  ",NA,NA,NA,1,NA,NA
"140","100 block craton st  ",NA,NA,NA,1,NA,NA
"141","100 block crawford av  ",NA,NA,NA,1,NA,NA
"142","100 block cresline dr  ",NA,NA,NA,2,NA,NA
"143","100 block croly st  ",4,1,1,3,NA,1
"144","100 block croton ter  ",NA,NA,1,NA,NA,NA
"145","100 block crouse dr  ",NA,NA,NA,1,NA,NA
"146","100 block crysler st  ",NA,NA,NA,1,NA,NA
"147","100 block culbert st  ",1,NA,1,2,NA,NA
"148","100 block curtis st  ",NA,NA,NA,1,NA,NA
"149","100 block dablon ct  ",3,NA,1,3,NA,1
"150","100 block daisy st  ",NA,NA,NA,1,NA,NA
"151","100 block dakin st  ",NA,NA,NA,1,NA,NA
"152","100 block dale st  ",NA,NA,NA,1,NA,NA
"153","100 block danforth ter  ",NA,1,NA,NA,NA,NA
"154","100 block darlington rd  ",NA,NA,NA,2,NA,NA
"155","100 block davis st  ",1,NA,NA,NA,NA,1
"156","100 block dearborn pl  ",2,NA,3,2,NA,NA
"157","100 block delaware st  ",NA,NA,2,1,NA,1
"158","100 block delong av  ",2,NA,1,1,NA,NA
"159","100 block delray av  ",NA,NA,NA,1,NA,NA
"160","100 block depalma av  ",NA,NA,NA,1,1,NA
"161","100 block dewey av  ",NA,NA,NA,1,NA,NA
"162","100 block dewitt st  ",NA,NA,NA,1,NA,NA
"163","100 block dickerson st  ",8,NA,NA,15,8,NA
"164","100 block didama st  ",NA,NA,1,NA,NA,NA
"165","100 block doll pkwy  ",NA,NA,NA,2,NA,NA
"166","100 block doroty st  ",NA,NA,NA,1,NA,NA
"167","100 block duane st  ",NA,NA,NA,1,NA,NA
"168","100 block dudley st  ",NA,NA,NA,NA,NA,3
"169","100 block durston av  ",NA,NA,1,2,NA,NA
"170","100 block dyer ct  ",2,NA,NA,NA,NA,NA
"171","100 block  beard av   e",NA,NA,NA,1,NA,NA
"172","100 block  bissell st   e",2,NA,2,3,NA,1
"173","100 block  borden av   e",NA,NA,NA,1,NA,NA
"174","100 block  brighton av   e",1,NA,1,NA,NA,NA
"175","100 block  cheltenham rd   e",NA,NA,1,NA,NA,NA
"176","100 block  colvin st   e",1,NA,NA,1,NA,NA
"177","100 block  corning av   e",1,NA,NA,NA,NA,NA
"178","100 block  fayette st   e",NA,NA,NA,1,NA,1
"179","100 block  genesee pkwy   e",NA,NA,NA,NA,NA,1
"180","100 block  genesee st   e",NA,NA,NA,1,NA,NA
"181","100 block  jefferson st   e",NA,NA,1,NA,1,1
"182","100 block  kennedy st   e",2,NA,1,4,NA,NA
"183","100 block  lafayette av   e",NA,NA,1,1,NA,NA
"184","100 block  matson av   e",NA,NA,NA,1,NA,NA
"185","100 block  onondaga st   e",NA,NA,NA,7,NA,NA
"186","100 block  raynor av   e",NA,NA,NA,NA,1,NA
"187","100 block  raynor st   e",NA,NA,NA,1,NA,NA
"188","100 block  seneca tpke   e",NA,NA,NA,1,NA,NA
"189","100 block  warrington av   e",NA,NA,NA,1,NA,NA
"190","100 block  warrington rd   e",NA,NA,NA,1,NA,NA
"191","100 block  washington st   e",NA,NA,NA,2,NA,NA
"192","100 block  water st   e",1,NA,NA,3,NA,NA
"193","100 block east av  ",NA,NA,1,1,NA,NA
"194","100 block eastman av  ",NA,NA,NA,NA,NA,1
"195","100 block edison st  ",NA,NA,1,NA,NA,NA
"196","100 block edmund av  ",NA,NA,1,1,NA,NA
"197","100 block edna rd  ",NA,NA,3,NA,NA,NA
"198","100 block edtim rd  ",NA,NA,3,1,NA,1
"199","100 block elizabeth blackwell st  ",NA,NA,NA,1,NA,NA
"200","100 block elk st  ",NA,NA,NA,NA,NA,1
"201","100 block elliott st  ",NA,NA,NA,1,NA,NA
"202","100 block elmhurst av  ",1,NA,NA,3,NA,NA
"203","100 block elmwood av  ",NA,1,NA,NA,NA,NA
"204","100 block eloise ter  ",NA,NA,1,1,NA,NA
"205","100 block elsner st  ",NA,NA,1,NA,NA,NA
"206","100 block emerson av  ",NA,NA,NA,2,NA,NA
"207","100 block erickson st  ",NA,NA,NA,1,NA,NA
"208","100 block erie blvd   e",NA,NA,NA,1,NA,NA
"209","100 block ethel st  ",NA,NA,1,NA,NA,NA
"210","100 block eureka st  ",NA,NA,NA,3,NA,1
"211","100 block fage av  ",NA,NA,1,NA,1,NA
"212","100 block fairview av  ",NA,NA,1,NA,NA,NA
"213","100 block feigel av  ",NA,NA,NA,1,NA,NA
"214","100 block fellows av  ",NA,NA,NA,5,NA,NA
"215","100 block fenton st  ",NA,NA,1,1,NA,1
"216","100 block fenway dr  ",NA,NA,1,1,NA,NA
"217","100 block fernwood av  ",3,NA,1,1,1,NA
"218","100 block fillmore av  ",1,NA,1,NA,NA,NA
"219","100 block fiscoe av  ",NA,NA,NA,1,NA,NA
"220","100 block fish av  ",NA,NA,NA,1,NA,NA
"221","100 block fobes av  ",1,NA,NA,NA,NA,1
"222","100 block ford av  ",1,NA,NA,NA,1,NA
"223","100 block fordham rd  ",NA,NA,NA,1,NA,2
"224","100 block frisbie ct  ",1,NA,NA,1,NA,1
"225","100 block furman st  ",NA,NA,1,1,NA,NA
"226","100 block genesee park dr  ",NA,NA,NA,1,NA,NA
"227","100 block gertrude st  ",1,NA,NA,2,NA,NA
"228","100 block gifford pkwy  ",NA,NA,1,NA,NA,NA
"229","100 block gifford st  ",2,1,NA,NA,NA,NA
"230","100 block glahn av  ",NA,NA,NA,NA,NA,1
"231","100 block glenwood av  ",1,NA,NA,NA,NA,NA
"232","100 block goodrich av  ",NA,NA,NA,1,NA,NA
"233","100 block gordon av  ",NA,NA,NA,NA,NA,1
"234","100 block gorland av  ",NA,NA,1,NA,NA,NA
"235","100 block grace st  ",NA,NA,1,NA,NA,1
"236","100 block grand av  ",NA,1,2,NA,NA,NA
"237","100 block granger st  ",1,NA,NA,NA,NA,NA
"238","100 block grant av  ",NA,NA,1,NA,NA,1
"239","100 block grassman av  ",1,NA,1,NA,NA,NA
"240","100 block graves st  ",NA,NA,NA,1,NA,NA
"241","100 block gray av  ",NA,NA,NA,1,NA,NA
"242","100 block green st  ",NA,NA,1,1,NA,1
"243","100 block greenland dr  ",NA,NA,1,1,NA,NA
"244","100 block griffin st  ",NA,NA,NA,1,NA,NA
"245","100 block griffiths st  ",1,NA,NA,1,3,NA
"246","100 block grove st  ",NA,NA,NA,NA,NA,1
"247","100 block haffenden rd  ",NA,NA,NA,1,NA,NA
"248","100 block hampshire rd  ",NA,NA,NA,1,NA,NA
"249","100 block hampton rd  ",NA,NA,NA,1,NA,NA
"250","100 block hancock dr  ",NA,NA,NA,NA,NA,1
"251","100 block harbor st  ",NA,NA,NA,2,NA,NA
"252","100 block harborside dr  ",NA,NA,NA,1,NA,NA
"253","100 block harding st  ",NA,NA,NA,1,NA,NA
"254","100 block harrison pl  ",NA,NA,NA,1,NA,NA
"255","100 block harrison st  ",NA,NA,NA,1,NA,NA
"256","100 block hartson st  ",2,NA,1,2,1,NA
"257","100 block harwood av  ",NA,NA,NA,2,NA,NA
"258","100 block hastings pl  ",NA,NA,NA,1,NA,NA
"259","100 block hatch st  ",NA,NA,NA,NA,NA,2
"260","100 block hatherly rd  ",NA,NA,NA,1,NA,NA
"261","100 block hawley av  ",1,NA,NA,NA,NA,NA
"262","100 block hayden av  ",NA,NA,NA,1,NA,NA
"263","100 block headson dr  ",NA,NA,NA,2,NA,NA
"264","100 block helen st  ",NA,NA,1,NA,NA,NA
"265","100 block henry st  ",NA,NA,NA,3,NA,NA
"266","100 block herbert st  ",1,NA,NA,NA,NA,NA
"267","100 block herbst st  ",1,NA,NA,NA,NA,NA
"268","100 block herkimer st  ",NA,NA,NA,1,NA,NA
"269","100 block herriman st  ",NA,NA,NA,1,NA,NA
"270","100 block hertford st  ",NA,NA,NA,1,NA,NA
"271","100 block herz st  ",NA,NA,NA,3,NA,NA
"272","100 block hickock av  ",NA,NA,1,NA,NA,NA
"273","100 block hickok av  ",NA,NA,NA,1,NA,NA
"274","100 block hier av  ",NA,NA,1,NA,NA,NA
"275","100 block highland av  ",1,NA,NA,2,NA,NA
"276","100 block hillsdale av  ",NA,NA,1,NA,NA,NA
"277","100 block hixson av  ",NA,NA,NA,1,NA,NA
"278","100 block hobart av  ",NA,NA,NA,1,NA,NA
"279","100 block holden st  ",NA,NA,NA,1,NA,1
"280","100 block holland st  ",1,NA,1,NA,NA,NA
"281","100 block homecroft av  ",NA,NA,NA,1,NA,NA
"282","100 block hood av  ",NA,NA,NA,1,NA,1
"283","100 block hope av  ",NA,NA,1,1,NA,NA
"284","100 block hopper rd  ",NA,NA,NA,1,NA,NA
"285","100 block houston av  ",NA,NA,NA,1,NA,NA
"286","100 block hudson av  ",1,NA,NA,NA,NA,NA
"287","100 block hudson st  ",1,NA,1,1,NA,NA
"288","100 block hunter av  ",1,NA,NA,NA,NA,NA
"289","100 block huntley st  ",NA,NA,NA,1,NA,NA
"290","100 block hurlburt rd  ",NA,NA,NA,1,NA,NA
"291","100 block huron st  ",NA,NA,1,NA,NA,NA
"292","100 block interpid ln  ",NA,NA,NA,1,NA,NA
"293","100 block intrepid ln  ",NA,NA,1,NA,NA,NA
"294","100 block isabella st  ",NA,NA,1,NA,NA,NA
"295","100 block ivy ridge rd  ",1,NA,NA,NA,NA,NA
"296","100 block jaclyn dr  ",NA,NA,NA,1,NA,NA
"297","100 block jamesville av  ",NA,NA,1,3,NA,NA
"298","100 block janet dr  ",NA,NA,NA,1,NA,NA
"299","100 block jasper pl  ",NA,NA,1,NA,NA,NA
"300","100 block jasper st  ",NA,NA,NA,2,1,1
"301","100 block john st  ",1,NA,6,6,NA,1
"302","100 block josephine st  ",NA,NA,NA,1,1,NA
"303","100 block kappesser st  ",1,NA,NA,1,NA,NA
"304","100 block keen pl  ",NA,NA,1,NA,NA,NA
"305","100 block kellogg st  ",NA,NA,2,2,NA,NA
"306","100 block kenmore av  ",NA,NA,1,NA,NA,NA
"307","100 block kensington rd  ",NA,NA,NA,1,NA,NA
"308","100 block kenwood av  ",NA,NA,1,NA,NA,NA
"309","100 block kimber av  ",NA,NA,NA,1,NA,1
"310","100 block kincaid av  ",NA,NA,NA,1,NA,NA
"311","100 block kirk av  ",NA,NA,NA,1,NA,NA
"312","100 block kuhl av  ",NA,NA,NA,1,NA,NA
"313","100 block lafayette rd  ",NA,NA,8,10,NA,NA
"314","100 block lakeview av  ",2,NA,3,1,1,NA
"315","100 block latimer ter  ",NA,NA,NA,2,NA,NA
"316","100 block latter dr  ",NA,NA,1,NA,NA,NA
"317","100 block lawrence st  ",NA,NA,1,2,NA,1
"318","100 block leavenworth av  ",NA,NA,NA,1,NA,NA
"319","100 block lewis st  ",NA,NA,1,NA,NA,NA
"320","100 block lexington av  ",NA,NA,NA,2,NA,NA
"321","100 block light ct  ",1,NA,NA,1,NA,NA
"322","100 block lilac st  ",NA,NA,2,NA,NA,1
"323","100 block lillian av  ",NA,NA,1,NA,NA,NA
"324","100 block lincoln av  ",NA,NA,NA,1,NA,NA
"325","100 block lindwell ter  ",1,NA,NA,NA,NA,NA
"326","100 block linwell ter  ",NA,NA,1,1,NA,NA
"327","100 block linwill ter  ",NA,NA,2,NA,NA,NA
"328","100 block lodi st  ",1,NA,NA,NA,NA,NA
"329","100 block loehr av  ",1,NA,NA,NA,NA,NA
"330","100 block loma av  ",NA,NA,NA,1,NA,NA
"331","100 block lorraine av  ",NA,NA,1,NA,NA,NA
"332","100 block luddington st  ",NA,NA,NA,2,NA,NA
"333","100 block lynn cir  ",NA,NA,2,1,NA,NA
"334","100 block lynwood av  ",NA,NA,NA,1,NA,1
"335","100 block madison st  ",NA,NA,NA,2,NA,NA
"336","100 block mains av  ",NA,NA,NA,NA,NA,1
"337","100 block manilla st  ",NA,NA,NA,1,NA,NA
"338","100 block manor dr  ",NA,NA,NA,1,NA,NA
"339","100 block maple ter  ",1,NA,1,NA,NA,NA
"340","100 block maplehurst av  ",NA,NA,NA,2,NA,NA
"341","100 block maplewood av  ",NA,NA,2,1,NA,NA
"342","100 block marjorie st  ",NA,NA,1,NA,NA,NA
"343","100 block mark av  ",NA,NA,1,1,NA,NA
"344","100 block markland av  ",NA,NA,1,NA,NA,NA
"345","100 block marlborough rd  ",NA,NA,1,NA,NA,NA
"346","100 block marshall st  ",1,NA,NA,8,NA,1
"347","100 block martin luther king       ",1,NA,1,NA,NA,NA
"348","100 block mary st  ",3,NA,1,4,NA,NA
"349","100 block mather st  ",1,1,1,2,NA,1
"350","100 block maurice av  ",1,NA,2,3,NA,NA
"351","100 block maxwell av  ",NA,NA,1,NA,NA,NA
"352","100 block mayar st  ",NA,NA,1,1,NA,NA
"353","100 block mcallister av  ",NA,NA,1,2,1,NA
"354","100 block mcclure av  ",1,NA,NA,NA,NA,NA
"355","100 block mccormick av  ",NA,NA,NA,2,NA,NA
"356","100 block mclennan av  ",NA,NA,NA,1,NA,NA
"357","100 block meadowbrook dr  ",NA,NA,1,1,NA,NA
"358","100 block medora pl  ",NA,NA,1,NA,NA,NA
"359","100 block melbourne av  ",NA,NA,2,1,NA,NA
"360","100 block merrill st  ",NA,NA,1,NA,NA,NA
"361","100 block merriman av  ",NA,NA,3,4,3,NA
"362","100 block merritt av  ",1,NA,1,NA,NA,NA
"363","100 block michaels av  ",NA,NA,NA,2,NA,NA
"364","100 block milburn dr  ",NA,NA,NA,1,NA,NA
"365","100 block mildred av  ",NA,NA,NA,1,NA,NA
"366","100 block miles av  ",NA,NA,1,3,NA,NA
"367","100 block milford ct  ",NA,NA,NA,1,NA,NA
"368","100 block milnor av  ",1,NA,NA,NA,NA,NA
"369","100 block minerva st  ",1,NA,NA,2,NA,NA
"370","100 block monroe st  ",NA,NA,NA,NA,NA,1
"371","100 block montgomery st  ",NA,NA,NA,4,2,NA
"372","100 block monticello dr     s",NA,NA,NA,1,NA,NA
"373","100 block monticello dr  ",NA,NA,1,NA,NA,NA
"374","100 block mosley dr  ",NA,NA,2,NA,NA,NA
"375","100 block murray av  ",1,NA,1,1,NA,1
"376","100 block  collingwood av   n",NA,NA,NA,2,NA,NA
"377","100 block  edwards av   n",NA,NA,NA,2,NA,NA
"378","100 block  geddes st   n",1,NA,1,1,NA,1
"379","100 block  lorraine av   n",NA,NA,NA,1,NA,NA
"380","100 block  lowell av   n",NA,NA,NA,2,NA,NA
"381","100 block  midler av   n",1,NA,NA,1,NA,NA
"382","100 block  salina st   n",NA,NA,NA,3,NA,1
"383","100 block  townsend pl   n",NA,NA,1,NA,NA,NA
"384","100 block  townsend st   n",NA,NA,NA,1,NA,NA
"385","100 block  wilbur av   n",NA,NA,1,NA,NA,NA
"386","100 block nelson st  ",3,NA,2,1,NA,NA
"387","100 block neutral ct  ",1,NA,1,NA,NA,NA
"388","100 block new st  ",NA,NA,NA,4,NA,NA
"389","100 block newbury hollow ln  ",NA,NA,NA,3,NA,NA
"390","100 block nichols av  ",NA,NA,NA,3,NA,NA
"391","100 block niven st  ",NA,NA,NA,1,NA,NA
"392","100 block normanor dr  ",NA,NA,NA,2,NA,NA
"393","100 block northcliffe rd  ",NA,NA,NA,NA,NA,1
"394","100 block oak pl  ",NA,NA,NA,1,NA,NA
"395","100 block oak st  ",3,NA,1,NA,NA,NA
"396","100 block oakwood av  ",NA,NA,NA,1,NA,NA
"397","100 block onondaga av  ",NA,NA,NA,2,NA,NA
"398","100 block onondaga st  ",NA,NA,NA,1,NA,NA
"399","100 block otisco st  ",NA,NA,NA,1,NA,NA
"400","100 block park av  ",NA,NA,1,NA,NA,NA
"401","100 block park st  ",NA,NA,1,NA,NA,NA
"402","100 block parkside av  ",NA,NA,1,1,NA,NA
"403","100 block parkview av  ",NA,NA,NA,1,NA,NA
"404","100 block parkway dr  ",NA,NA,2,NA,NA,NA
"405","100 block paul av  ",NA,NA,NA,2,NA,NA
"406","100 block peck av  ",NA,NA,NA,3,NA,1
"407","100 block penta dr  ",1,NA,NA,NA,NA,NA
"408","100 block pershing av  ",NA,NA,NA,1,NA,NA
"409","100 block peters st  ",NA,NA,NA,2,1,NA
"410","100 block pharis st  ",NA,NA,1,NA,NA,NA
"411","100 block phillips rd  ",1,NA,NA,NA,NA,NA
