"","police_call_block","Aggravated_assault","Arson","Burglary","Larceny","Robbery","vehicle_theft"
"816","1800 block teall av  ",NA,NA,NA,1,NA,NA
"817","1800 block  fayette st  ",NA,NA,NA,1,NA,NA
"818","1800 block  genesee st  ",NA,NA,2,4,NA,NA
"819","1900 block bellevue av  ",NA,NA,NA,1,NA,NA
"820","1900 block caleb av  ",NA,NA,2,NA,NA,NA
"821","1900 block  fayette st   e",1,NA,2,NA,NA,NA
"822","1900 block  genesee st   e",NA,NA,4,NA,NA,NA
"823","1900 block erie blvd   e",NA,NA,NA,2,NA,NA
"824","1900 block euclid av  ",NA,NA,NA,1,NA,NA
"825","1900 block glenwood av  ",NA,NA,1,2,NA,NA
"826","1900 block grant blvd  ",NA,NA,NA,2,NA,NA
"827","1900 block  salina st   s",NA,1,NA,NA,NA,NA
"828","1900 block south av  ",NA,NA,3,NA,NA,NA
"829","1900 block valley dr  ",NA,NA,1,1,NA,NA
"830","1900 block  fayette st  ",1,NA,NA,1,NA,NA
"831","1900 block  genesee st  ",NA,NA,2,1,NA,1
"832","200 block 8th av  ",NA,NA,NA,1,NA,NA
"833","200 block academy pl  ",NA,NA,1,1,NA,NA
"834","200 block apple st  ",1,NA,NA,NA,NA,NA
"835","200 block arch st  ",NA,NA,NA,1,NA,NA
"836","200 block arden dr  ",NA,NA,NA,1,NA,NA
"837","200 block ardmore rd  ",NA,NA,NA,1,NA,NA
"838","200 block arlington av  ",NA,NA,NA,2,NA,NA
"839","200 block ash st  ",NA,NA,NA,1,NA,NA
"840","200 block ashdale av  ",1,NA,1,1,NA,2
"841","200 block ashworth pl  ",NA,NA,NA,1,NA,NA
"842","200 block austin av  ",NA,NA,NA,1,NA,NA
"843","200 block avery av  ",NA,NA,NA,1,NA,NA
"844","200 block baker av  ",NA,NA,NA,1,NA,NA
"845","200 block ballantyne rd  ",NA,NA,NA,1,NA,NA
"846","200 block barrett st  ",3,NA,NA,1,NA,NA
"847","200 block barrington rd  ",NA,NA,NA,1,NA,NA
"848","200 block basin st  ",NA,NA,2,1,NA,NA
"849","200 block beattie st  ",NA,NA,NA,1,1,1
"850","200 block beecher st  ",NA,NA,1,1,NA,NA
"851","200 block bellevue av  ",1,NA,NA,1,NA,NA
"852","200 block bennington dr  ",NA,NA,NA,2,NA,1
"853","200 block berkeley dr  ",NA,NA,NA,1,NA,NA
"854","200 block boyden st  ",NA,NA,NA,1,NA,NA
"855","200 block brampton rd  ",NA,NA,NA,1,NA,NA
"856","200 block brattle rd  ",NA,NA,NA,3,NA,NA
"857","200 block brookford rd  ",NA,NA,NA,1,NA,NA
"858","200 block brooklea pl  ",NA,NA,NA,2,NA,1
"859","200 block bruce st  ",NA,NA,NA,1,NA,NA
"860","200 block bryant av  ",NA,NA,1,1,NA,NA
"861","200 block buckingham av  ",NA,NA,1,NA,NA,NA
"862","200 block burnet av  ",NA,NA,NA,1,NA,NA
"863","200 block cadwell st  ",NA,NA,NA,1,NA,NA
"864","200 block caleb av  ",NA,NA,NA,NA,NA,1
"865","200 block cambridge st  ",NA,NA,NA,2,NA,NA
"866","200 block cannon st  ",NA,NA,1,NA,NA,NA
"867","200 block carbon st  ",NA,NA,4,1,NA,NA
"868","200 block carlton rd  ",NA,NA,NA,1,NA,NA
"869","200 block catherine st  ",NA,NA,1,NA,NA,NA
"870","200 block chaffee av  ",NA,NA,NA,1,NA,NA
"871","200 block chavez ter  ",1,NA,NA,1,NA,NA
"872","200 block chemung st  ",NA,NA,NA,1,NA,NA
"873","200 block cherry st  ",1,NA,NA,NA,NA,NA
"874","200 block clarendon st  ",NA,NA,2,1,NA,NA
"875","200 block coleridge av  ",NA,NA,1,1,NA,NA
"876","200 block comstock av  ",NA,NA,4,8,NA,NA
"877","200 block comstock pl  ",NA,NA,NA,1,2,NA
"878","200 block congress av  ",NA,NA,NA,NA,NA,2
"879","200 block conklin av  ",NA,NA,1,2,NA,1
"880","200 block craddock st  ",NA,NA,1,1,NA,NA
"881","200 block crafton av  ",NA,NA,NA,1,NA,NA
"882","200 block craton st  ",NA,NA,1,NA,NA,NA
"883","200 block crippen av  ",NA,NA,1,NA,NA,NA
"884","200 block croly st  ",NA,NA,NA,NA,NA,1
"885","200 block dale st  ",NA,NA,NA,1,NA,NA
"886","200 block delhi st  ",NA,NA,NA,1,1,NA
"887","200 block delray av  ",NA,NA,NA,2,NA,NA
"888","200 block demong dr  ",NA,NA,1,NA,NA,NA
"889","200 block dewitt rd  ",NA,NA,1,NA,NA,NA
"890","200 block dewitt st  ",NA,NA,NA,1,NA,NA
"891","200 block dorchester av  ",NA,NA,1,1,NA,NA
"892","200 block douglas st  ",NA,NA,1,NA,NA,NA
"893","200 block duane st  ",1,NA,NA,1,NA,NA
"894","200 block durston av  ",NA,NA,NA,1,NA,NA
"895","200 block  adams st   e",NA,1,NA,NA,NA,NA
"896","200 block  belden av   e",1,NA,NA,NA,NA,NA
"897","200 block  cheltenham rd   e",NA,NA,1,NA,NA,NA
"898","200 block  fayette st   e",NA,NA,NA,1,NA,NA
"899","200 block  genesee pkwy   e",NA,NA,NA,1,NA,NA
"900","200 block  jefferson st   e",1,NA,1,2,NA,NA
"901","200 block  kennedy st   e",NA,NA,NA,1,NA,NA
"902","200 block  onondaga st   e",NA,NA,NA,NA,NA,1
"903","200 block  washington st   e",NA,NA,NA,3,NA,NA
"904","200 block  water st   e",NA,NA,1,2,NA,1
"905","200 block east av  ",NA,NA,NA,NA,NA,1
"906","200 block eldorado st  ",NA,NA,NA,1,NA,NA
"907","200 block elsner st  ",NA,NA,NA,NA,NA,1
"908","200 block empire av  ",NA,NA,2,1,NA,NA
"909","200 block erickson st  ",NA,NA,1,NA,NA,NA
"910","200 block erie blvd   e",NA,NA,NA,1,NA,NA
"911","200 block erie st  ",NA,NA,NA,1,NA,NA
"912","200 block essex st  ",NA,NA,1,NA,NA,NA
"913","200 block euclid av  ",NA,NA,NA,1,NA,NA
"914","200 block fayette blvd  ",NA,NA,1,1,NA,NA
"915","200 block fellows av  ",NA,NA,NA,1,NA,NA
"916","200 block fenway dr  ",NA,NA,1,NA,NA,1
"917","200 block fillmore av  ",1,NA,NA,1,NA,NA
"918","200 block fitch st  ",1,NA,1,1,NA,NA
"919","200 block forest av  ",NA,NA,1,1,NA,NA
"920","200 block forest hill dr  ",NA,NA,NA,1,NA,NA
"921","200 block furman st  ",1,NA,2,NA,1,NA
"922","200 block garfield av  ",1,NA,NA,NA,NA,NA
"923","200 block genesee park dr  ",1,NA,1,NA,NA,NA
"924","200 block gere av  ",NA,NA,NA,1,NA,NA
"925","200 block gertrude st  ",NA,NA,NA,1,NA,NA
"926","200 block gifford pkwy  ",NA,NA,NA,1,NA,NA
"927","200 block gilbert av  ",NA,NA,2,NA,NA,NA
"928","200 block gilbert st  ",NA,NA,1,NA,NA,NA
"929","200 block glenwood av  ",NA,NA,NA,2,NA,NA
"930","200 block goodrich av  ",NA,NA,NA,1,NA,NA
"931","200 block gordon av  ",NA,NA,NA,2,NA,NA
"932","200 block grand av  ",1,NA,1,1,NA,NA
"933","200 block graves st  ",NA,NA,NA,1,NA,NA
"934","200 block green st  ",NA,NA,NA,1,NA,NA
"935","200 block griffiths st  ",NA,NA,1,2,NA,NA
"936","200 block grumbach av  ",1,1,2,NA,NA,2
"937","200 block hall av  ",1,NA,1,NA,NA,NA
"938","200 block hampton rd  ",NA,NA,1,NA,NA,NA
"939","200 block harding st  ",NA,NA,NA,1,NA,NA
"940","200 block harriette av  ",NA,NA,1,NA,NA,NA
"941","200 block harrison st  ",NA,NA,NA,4,NA,NA
"942","200 block hastings pl  ",NA,NA,NA,1,1,NA
"943","200 block hawley av  ",NA,NA,NA,1,NA,NA
"944","200 block hayden av  ",NA,NA,NA,1,NA,NA
"945","200 block hazelhurst av  ",NA,NA,1,NA,NA,NA
"946","200 block helen st  ",NA,NA,1,1,NA,NA
"947","200 block herald pl  ",NA,NA,1,6,NA,NA
"948","200 block herbert st  ",NA,NA,1,2,NA,NA
"949","200 block herbst st  ",NA,NA,NA,1,NA,NA
"950","200 block herkimer st  ",NA,NA,1,2,NA,NA
"951","200 block herriman st  ",NA,NA,1,1,NA,1
"952","200 block hiawatha blvd   e",NA,NA,NA,NA,NA,1
"953","200 block hiawatha blvd  ",NA,NA,NA,1,NA,NA
"954","200 block hickok av  ",NA,NA,NA,1,NA,NA
"955","200 block hier av  ",NA,NA,2,3,NA,NA
"956","200 block hillsboro pkwy  ",NA,NA,1,NA,NA,NA
"957","200 block hillsdale av  ",NA,NA,NA,1,NA,NA
"958","200 block hillside av  ",NA,NA,NA,1,NA,NA
"959","200 block hoefler st  ",1,NA,NA,NA,NA,NA
"960","200 block holland st  ",1,NA,NA,2,NA,1
"961","200 block homecroft rd  ",NA,NA,1,NA,NA,NA
"962","200 block hood av  ",NA,NA,1,NA,NA,NA
"963","200 block hope av  ",NA,NA,2,NA,NA,NA
"964","200 block hubbell av  ",NA,NA,1,NA,NA,1
"965","200 block hudson st  ",NA,NA,NA,1,NA,NA
"966","200 block hunt av  ",NA,NA,1,2,NA,NA
"967","200 block hurlburt rd  ",NA,NA,2,NA,NA,NA
"968","200 block hutchinson av  ",NA,NA,NA,1,NA,NA
"969","200 block james st  ",NA,NA,NA,NA,NA,1
"970","200 block jamesville av  ",NA,NA,NA,1,NA,NA
"971","200 block kellogg st  ",NA,NA,1,NA,NA,NA
"972","200 block kenmore av  ",NA,NA,2,1,NA,NA
"973","200 block kimber av  ",NA,NA,NA,1,NA,NA
"974","200 block kirk av  ",1,NA,1,NA,NA,NA
"975","200 block kirkpatrick st  ",NA,NA,NA,NA,NA,1
"976","200 block knaul st  ",NA,NA,NA,NA,1,NA
"977","200 block lafayette rd  ",1,NA,1,NA,NA,NA
"978","200 block lakeview av  ",NA,NA,1,1,NA,NA
"979","200 block landon av  ",1,NA,1,NA,NA,NA
"980","200 block lemoyne av  ",NA,NA,NA,1,NA,1
"981","200 block lewiston dr  ",NA,NA,NA,1,NA,NA
"982","200 block lexington av  ",NA,NA,NA,1,NA,NA
"983","200 block lilac st  ",NA,NA,NA,1,NA,NA
"984","200 block lillian av  ",NA,NA,NA,1,NA,NA
"985","200 block lime st  ",1,NA,NA,NA,NA,NA
"986","200 block lincoln av  ",2,NA,NA,1,NA,NA
"987","200 block lockwood rd  ",NA,NA,NA,1,NA,NA
"988","200 block longmeadow dr  ",NA,NA,NA,1,NA,NA
"989","200 block loomis av  ",NA,NA,1,NA,NA,NA
"990","200 block lorraine av  ",NA,NA,1,2,NA,NA
"991","200 block magnolia st  ",1,NA,1,6,NA,1
"992","200 block maplehurst av  ",NA,NA,NA,1,NA,NA
"993","200 block marguerite av  ",NA,NA,NA,1,NA,NA
"994","200 block mariposa st  ",NA,NA,NA,1,NA,NA
"995","200 block marshall st  ",NA,NA,NA,1,NA,NA
"996","200 block martin luther king       ",NA,1,1,NA,1,NA
"997","200 block mary st  ",NA,NA,1,NA,NA,NA
"998","200 block massena st  ",NA,NA,NA,NA,2,NA
"999","200 block mather st  ",1,NA,1,1,NA,NA
"1000","200 block may av  ",NA,NA,NA,1,NA,NA
"1001","200 block melbourne av  ",NA,NA,2,NA,NA,NA
"1002","200 block merriman av  ",2,1,1,2,NA,1
"1003","200 block milburn av  ",NA,NA,NA,1,NA,NA
"1004","200 block milburn dr  ",NA,NA,1,2,NA,NA
"1005","200 block miles av  ",NA,NA,NA,1,NA,NA
"1006","200 block milford dr  ",NA,NA,NA,1,NA,NA
"1007","200 block milton av  ",NA,NA,NA,1,NA,1
"1008","200 block mlk        e",1,NA,NA,1,NA,NA
"1009","200 block montgomery st  ",NA,NA,NA,2,NA,1
"1010","200 block monticello dr     n",NA,NA,1,NA,NA,NA
"1011","200 block moore av  ",NA,NA,1,2,NA,NA
"1012","200 block mosley dr  ",NA,NA,1,NA,NA,1
"1013","200 block mountainview av  ",NA,NA,NA,NA,NA,1
"1014","200 block myrtle st  ",NA,NA,NA,1,NA,NA
"1015","200 block  clinton st   n",NA,NA,NA,1,NA,1
"1016","200 block  crouse av   n",NA,NA,NA,1,NA,NA
"1017","200 block  edwards av   n",NA,NA,3,1,NA,NA
"1018","200 block  franklin st   n",NA,NA,NA,1,NA,NA
"1019","200 block  geddes st   n",NA,NA,1,NA,NA,NA
"1020","200 block  lowell av   n",NA,NA,NA,1,NA,NA
"1021","200 block  state st   n",1,NA,2,10,NA,NA
"1022","200 block  townsend st   n",NA,NA,2,2,NA,NA
"1023","200 block north av  ",NA,NA,1,1,NA,NA
"1024","200 block norwood av  ",NA,NA,1,NA,NA,NA
"1025","200 block oak st  ",NA,NA,1,NA,NA,NA
"1026","200 block oakwood av  ",NA,NA,1,NA,1,NA
"1027","200 block oneida st  ",2,NA,NA,1,NA,NA
"1028","200 block onondaga av  ",NA,NA,NA,NA,NA,1
"1029","200 block ostrom av  ",NA,NA,2,2,NA,NA
"1030","200 block parkway dr  ",NA,NA,NA,1,NA,NA
"1031","200 block pattison st  ",NA,NA,2,NA,NA,NA
"1032","200 block paul av  ",NA,NA,NA,2,NA,NA
"1033","200 block plymouth dr  ",NA,NA,2,NA,NA,NA
"1034","200 block primrose av  ",NA,NA,NA,2,NA,NA
"1035","200 block pulaski st  ",NA,NA,1,NA,NA,NA
"1036","200 block putnam st  ",1,NA,2,NA,NA,1
"1037","200 block reed av  ",NA,NA,NA,1,NA,NA
"1038","200 block ridgewood dr  ",NA,NA,NA,1,NA,NA
"1039","200 block rigi av  ",NA,NA,NA,1,NA,NA
"1040","200 block robert dr  ",NA,NA,3,1,NA,NA
"1041","200 block roberts dr  ",NA,NA,NA,1,NA,NA
"1042","200 block robineau rd  ",NA,NA,NA,NA,NA,1
"1043","200 block rockland av  ",NA,NA,1,NA,NA,NA
"1044","200 block ross pk  ",NA,NA,NA,1,NA,NA
"1045","200 block rowland st  ",1,NA,NA,1,NA,1
"1046","200 block roxbury rd  ",NA,NA,NA,1,NA,NA
"1047","200 block rugby rd  ",NA,NA,NA,1,1,NA
"1048","200 block  beech st   s",NA,NA,1,NA,NA,NA
"1049","200 block  collingwood av   s",NA,NA,1,1,NA,NA
"1050","200 block  edwards av   s",NA,NA,NA,2,NA,NA
"1051","200 block  franklin st   s",1,NA,NA,1,NA,NA
"1052","200 block  geddes sq   s",NA,NA,NA,NA,NA,1
"1053","200 block  geddes st   s",NA,NA,NA,1,NA,NA
"1054","200 block  midler av   s",NA,NA,1,NA,NA,NA
"1055","200 block  salina st   s",NA,NA,1,5,NA,NA
"1056","200 block  state st   s",NA,NA,NA,NA,1,NA
"1057","200 block  warren st   s",NA,NA,NA,6,1,NA
"1058","200 block sabine st  ",1,NA,NA,2,NA,NA
"1059","200 block scotholm blvd  ",NA,NA,NA,1,NA,NA
"1060","200 block scottholm blvd  ",NA,NA,1,NA,NA,NA
"1061","200 block scottholm ter  ",NA,NA,NA,1,NA,NA
"1062","200 block searlwyn rd  ",NA,NA,NA,1,NA,NA
"1063","200 block second north st  ",NA,NA,1,NA,NA,NA
"1064","200 block sedgwick dr  ",NA,NA,NA,1,NA,NA
"1065","200 block sedgwick st  ",NA,NA,2,NA,NA,NA
"1066","200 block seneca dr  ",NA,NA,4,1,NA,NA
"1067","200 block seneca st  ",NA,NA,1,NA,1,NA
"1068","200 block seventh north st  ",NA,NA,NA,1,NA,NA
"1069","200 block seward st  ",2,NA,NA,NA,NA,NA
"1070","200 block shonnard st  ",1,NA,NA,NA,NA,1
"1071","200 block shotwell pk  ",NA,NA,NA,1,NA,NA
"1072","200 block slocum av  ",NA,NA,NA,NA,1,NA
"1073","200 block solar st  ",NA,NA,NA,1,NA,NA
"1074","200 block stafford av  ",NA,NA,2,NA,NA,NA
"1075","200 block state fair blvd  ",NA,NA,NA,NA,NA,1
"1076","200 block strathmore dr  ",NA,NA,2,NA,NA,NA
"1077","200 block strong av  ",NA,NA,NA,1,NA,NA
"1078","200 block sunrise dr  ",NA,NA,NA,2,NA,NA
"1079","200 block sunstruck dr  ",NA,NA,NA,1,NA,NA
"1080","200 block taft av  ",NA,NA,1,1,1,NA
"1081","200 block teall av  ",NA,NA,NA,1,NA,NA
"1082","200 block tennyson av  ",NA,NA,1,1,NA,NA
"1083","200 block tompkins st  ",NA,NA,NA,1,NA,NA
"1084","200 block towers ln  ",1,NA,NA,NA,NA,NA
"1085","200 block ulster st  ",NA,NA,NA,NA,1,NA
"1086","200 block union av  ",NA,NA,1,NA,NA,NA
"1087","200 block union pl  ",NA,NA,NA,1,NA,NA
"1088","200 block valley dr  ",NA,NA,NA,2,NA,NA
"1089","200 block van buren st  ",NA,NA,NA,3,NA,NA
"1090","200 block vann st  ",NA,NA,1,1,NA,NA
"1091","200 block village dr  ",NA,NA,1,2,NA,1
"1092","200 block  beard av  ",NA,NA,1,NA,NA,NA
"1093","200 block  borden av  ",NA,NA,NA,1,NA,NA
"1094","200 block  brighton av  ",1,NA,NA,3,1,NA
"1095","200 block  calthrop av  ",NA,NA,1,NA,NA,1
"1096","200 block  colvin st  ",1,NA,NA,1,NA,NA
"1097","200 block  corning av  ",NA,NA,NA,2,NA,1
"1098","200 block  division st  ",NA,NA,NA,1,NA,NA
"1099","200 block  fayette st  ",NA,NA,NA,5,NA,NA
"1100","200 block  genesee st  ",NA,NA,NA,2,1,2
"1101","200 block  glen av  ",1,NA,NA,NA,NA,NA
"1102","200 block  jefferson st  ",NA,NA,NA,8,2,NA
"1103","200 block  kennedy ter  ",NA,NA,NA,1,NA,NA
"1104","200 block  lafayette av  ",NA,NA,NA,2,NA,NA
"1105","200 block  marcellus st  ",NA,NA,1,NA,NA,NA
"1106","200 block  matson av  ",NA,NA,NA,3,NA,NA
"1107","200 block  newell st  ",NA,NA,NA,2,2,NA
"1108","200 block  ostrander av  ",NA,NA,2,1,NA,NA
"1109","200 block  seneca tpke  ",NA,NA,2,NA,NA,NA
"1110","200 block  water st  ",NA,NA,NA,1,NA,NA
"1111","200 block  willow st  ",NA,NA,NA,1,NA,NA
"1112","200 block wainwright av  ",NA,NA,1,NA,NA,NA
"1113","200 block wall st  ",NA,NA,NA,1,NA,NA
"1114","200 block walton st  ",NA,NA,NA,5,NA,NA
"1115","200 block warham st  ",NA,NA,NA,2,NA,NA
"1116","200 block warner av  ",1,NA,1,NA,NA,NA
"1117","200 block washington sq  ",1,NA,NA,2,NA,NA
"1118","200 block webster av  ",NA,NA,NA,NA,NA,1
"1119","200 block wendell ter  ",NA,NA,1,NA,NA,NA
"1120","200 block westminster av  ",NA,NA,NA,NA,NA,1
"1121","200 block westmoreland av  ",2,NA,NA,1,NA,NA
"1122","200 block westwood rd  ",NA,NA,NA,1,NA,NA
"1123","200 block whitwell dr  ",NA,NA,NA,1,NA,NA
"1124","200 block wilkinson st  ",NA,NA,2,4,NA,1
"1125","200 block willumae dr  ",NA,NA,NA,1,NA,NA
"1126","200 block wilson st  ",NA,NA,1,NA,NA,NA
"1127","200 block wolf st  ",1,NA,NA,2,NA,NA
"1128","200 block woodbine av  ",NA,NA,NA,1,NA,NA
"1129","200 block woodlawn ter  ",NA,NA,1,NA,NA,NA
"1130","200 block woodruff av  ",1,NA,NA,NA,NA,NA
"1131","200 block wyoming st  ",NA,NA,1,NA,2,NA
"1132","2000 block bellevue av  ",1,NA,NA,1,NA,NA
"1133","2000 block  colvin st   e",NA,NA,NA,1,NA,NA
"1134","2000 block  fayette st   e",3,NA,1,6,1,NA
"1135","2000 block  genesee st   e",NA,NA,3,NA,NA,NA
"1136","2000 block erie blvd   e",NA,NA,NA,5,NA,NA
"1137","2000 block grant blvd  ",NA,NA,NA,NA,1,NA
"1138","2000 block james st  ",NA,NA,NA,1,NA,NA
"1139","2000 block lodi st  ",2,NA,1,1,NA,1
"1140","2000 block park st  ",1,NA,NA,5,1,NA
"1141","2000 block  salina st   s",1,NA,3,1,NA,NA
"1142","2000 block south av  ",1,NA,NA,NA,NA,NA
"1143","2000 block teall av  ",NA,NA,NA,NA,1,NA
"1144","2100 block  fayette st   e",1,NA,2,NA,1,NA
"1145","2100 block  genesee st   e",NA,NA,1,NA,NA,NA
"1146","2100 block erie blvd   e",NA,NA,2,1,NA,NA
"1147","2100 block grant blvd  ",NA,NA,1,NA,NA,1
"1148","2100 block midland av  ",NA,NA,1,NA,NA,NA
"1149","2100 block park st  ",NA,NA,4,2,NA,NA
"1150","2100 block  geddes st   s",NA,NA,NA,1,NA,NA
"1151","2100 block  salina st   s",NA,NA,NA,2,NA,NA
"1152","2100 block  state st   s",1,NA,NA,1,NA,NA
"1153","2200 block  fayette st   e",NA,NA,NA,1,NA,NA
"1154","2200 block  genesee st   e",1,NA,NA,NA,NA,NA
"1155","2200 block erie blvd   e",NA,NA,1,NA,NA,NA
"1156","2200 block lodi st  ",NA,NA,NA,NA,1,NA
"1157","2200 block midland av  ",1,NA,NA,NA,NA,NA
"1158","2200 block  salina st   s",NA,NA,NA,1,1,NA
"1159","2200 block valley dr  ",NA,NA,NA,1,NA,1
"1160","2300 block burnet av  ",NA,NA,1,NA,NA,NA
"1161","2300 block  fayette st   e",1,NA,NA,NA,NA,2
"1162","2300 block  genesee st   e",NA,NA,1,1,NA,NA
"1163","2300 block erie blvd   e",NA,NA,NA,1,NA,NA
"1164","2300 block grant blvd  ",1,NA,NA,1,NA,NA
"1165","2300 block james st  ",NA,NA,NA,1,NA,NA
"1166","2300 block lodi st  ",NA,1,NA,1,NA,NA
"1167","2300 block midland av  ",1,NA,2,NA,NA,NA
"1168","2300 block  state st   s",NA,NA,1,NA,NA,NA
"1169","2400 block  genesee st   e",1,NA,NA,NA,NA,NA
"1170","2400 block erie blvd   e",NA,NA,NA,1,NA,NA
"1171","2400 block grant blvd  ",1,1,NA,4,NA,NA
"1172","2400 block james st  ",1,NA,NA,5,3,NA
"1173","2400 block lodi st  ",NA,1,NA,1,1,1
"1174","2400 block midland av  ",NA,NA,1,NA,NA,1
"1175","2400 block  salina st   s",2,NA,NA,1,NA,NA
"1176","2400 block south av  ",NA,1,NA,NA,NA,NA
"1177","2400 block south ave  ",NA,1,NA,NA,NA,NA
"1178","2500 block bellevue av  ",NA,NA,1,NA,NA,NA
"1179","2500 block erie blvd   e",NA,NA,1,27,NA,NA
"1180","2500 block james st  ",NA,NA,NA,4,NA,NA
"1181","2500 block lodi st  ",NA,NA,1,NA,NA,NA
"1182","2500 block valley dr  ",NA,NA,3,NA,NA,NA
"1183","2600 block burnet av  ",NA,NA,NA,1,NA,2
"1184","2600 block  fayette st   e",NA,NA,NA,NA,NA,1
"1185","2600 block  genesee st   e",NA,NA,1,NA,NA,NA
"1186","2600 block erie blvd  ",NA,NA,NA,NA,1,NA
"1187","2600 block erie blvd   e",1,NA,2,7,NA,NA
"1188","2600 block lodi st  ",NA,NA,NA,1,NA,1
"1189","2600 block midland av  ",NA,NA,2,NA,1,NA
"1190","2600 block  salina st   s",NA,NA,3,1,1,NA
"1191","2700 block burnet av  ",NA,NA,NA,1,NA,NA
"1192","2700 block erie blvd   e",NA,NA,2,5,NA,NA
"1193","2700 block james st  ",3,NA,2,2,1,NA
"1194","2700 block lodi st  ",NA,NA,NA,2,NA,NA
"1195","2700 block midland av  ",1,NA,NA,NA,NA,NA
"1196","2800 block burnet av  ",NA,NA,1,NA,NA,NA
"1197","2800 block  genesee st   e",NA,NA,1,1,NA,NA
"1198","2800 block erie blvd   e",NA,NA,2,1,NA,NA
"1199","2800 block james st  ",NA,NA,NA,1,NA,NA
"1200","2800 block  salina st   s",NA,NA,1,2,NA,NA
"1201","2900 block burnet av  ",NA,NA,1,NA,NA,NA
"1202","2900 block  genesee st   e",NA,NA,1,3,NA,NA
"1203","2900 block erie blvd  ",NA,NA,NA,1,NA,NA
"1204","2900 block erie blvd   e",NA,NA,3,5,NA,NA
"1205","2900 block james st  ",NA,NA,NA,8,1,NA
"1206","2900 block  salina st   s",1,NA,1,1,NA,NA
"1207","300 block allen st  ",NA,NA,NA,6,NA,2
"1208","300 block apple st  ",NA,NA,1,1,NA,NA
"1209","300 block arlington av  ",NA,NA,1,NA,NA,NA
"1210","300 block arthur st  ",NA,NA,1,NA,NA,NA
"1211","300 block ash st  ",NA,NA,NA,3,NA,NA
"1212","300 block ashdale av  ",NA,NA,1,NA,NA,NA
"1213","300 block audobon pkwy  ",NA,NA,NA,1,NA,NA
"1214","300 block audubon pkwy  ",NA,NA,NA,3,NA,1
"1215","300 block avery av  ",NA,NA,NA,2,NA,NA
"1216","300 block baker av  ",1,NA,1,NA,NA,NA
"1217","300 block ballantyne rd  ",NA,NA,NA,NA,NA,1
"1218","300 block barrington rd  ",NA,NA,1,1,NA,NA
"1219","300 block basin st  ",NA,NA,2,NA,NA,NA
"1220","300 block bear st  ",NA,NA,1,2,NA,NA
