,Address,Fire.alarm
1,0 block academy st,1
2,0 block ackerman ave,2
3,0 block adams st e,4
4,0 block almond st,1
5,0 block amidon dr,14
6,0 block arnts pl,1
7,0 block arsenal dr,1
8,0 block atkinson ave,1
9,0 block avery ave,2
10,0 block avoca st,1
11,0 block barrington rd,2
12,0 block beech st n,2
13,0 block beecher st,1
14,0 block belden ave,3
15,0 block bellevue ave,14
16,0 block bernie blake dr,1
17,0 block berwyn ave,1
18,0 block blossom rd,3
19,0 block boise dr,4
20,0 block bradley st,1
21,0 block brighton pl,3
22,0 block bristol pl,1
23,0 block broadview dr,1
24,0 block bronson st,1
25,0 block bruce st,1
26,0 block bungalow ter,1
27,0 block burnet ave,2
28,0 block burten st,2
29,0 block butternut st,8
30,0 block canal st,2
31,0 block carbon st,3
32,0 block carbon st s,3
33,0 block carlisle st,1
34,0 block centennial dr,1
35,0 block childrens cir,1
36,0 block childrens cir e,1
37,0 block city crossroads dr,1
38,0 block claire rd,3
39,0 block cleveland ave,1
40,0 block clinton st n,4
41,0 block clinton st s,14
42,0 block col eileen collins blvd,91
43,0 block college pl,23
44,0 block colvin st,2
45,0 block colvin st e,2
46,0 block comstock ave,4
47,0 block concord pl,1
48,0 block conifer dr,1
49,0 block conservation pl,4
50,0 block cordova st,1
51,0 block costello ct,1
52,0 block court st,9
53,0 block coykendall ave,2
54,0 block crippen pl,2
55,0 block croly st,32
56,0 block crouse dr,3
57,0 block culbert st,3
58,0 block dablon ct,1
59,0 block danforth st,3
60,0 block danforth ter,1
61,0 block delong ave,3
62,0 block demong dr,1
63,0 block destiny usa dr,39
64,0 block dewitt rd,2
65,0 block diana ave,1
66,0 block dickerson st,1
67,0 block division st,1
68,0 block douglas st,2
69,0 block dupli park dr,1
70,0 block eastman ave,2
71,0 block edmund ave,1
72,0 block edtim rd,2
73,0 block edwards ave s,1
74,0 block eliz.blackwell st,2
75,0 block elk st,2
76,0 block elliott st,1
77,0 block emerson ave,3
78,0 block erie blvd e,1
79,0 block erie blvd w,1
80,0 block erie st,1
81,0 block euclid ave,6
82,0 block eureka st,1
83,0 block fage ave,1
84,0 block fairfield ave,1
85,0 block farm acre rd,1
86,0 block fayette st,9
87,0 block fayette st e,4
88,0 block first north st,7
89,0 block fish ave,1
90,0 block fitch st,1
91,0 block fountain st,4
92,0 block foxboro rd,3
93,0 block gannett ave,2
94,0 block geddes st n,1
95,0 block geddes st s,4
96,0 block genesee st,19
97,0 block genesee st e,15
98,0 block gere ave,1
99,0 block gertrude st,1
100,0 block gilbert ave,1
101,0 block giminski dr,1
102,0 block glahn ave,2
103,0 block glencove rd,1
104,0 block gordon ave,1
105,0 block grand ave,1
106,0 block grape ter,1
107,0 block gray ave,1
108,0 block green street pl,2
109,0 block greenwood pl,1
110,0 block griffin st,1
111,0 block haffenden rd,1
112,0 block harding st,1
113,0 block harford rd,1
114,0 block harrison st,8
115,0 block hartley st,1
116,0 block hartson st,2
117,0 block hatch st,1
118,0 block hawley ave,1
119,0 block helen st,1
120,0 block hensberry rd,1
121,0 block herbert st,2
122,0 block herbst ave,1
123,0 block herkimer st,1
124,0 block hiawatha blvd w,1
125,0 block hier ave,1
126,0 block highland pl,3
127,0 block highland st,4
128,0 block hillcrest rd,1
129,0 block hilltop rd,1
130,0 block hobart ave,1
131,0 block holden st,2
132,0 block hope ave,1
133,0 block hughes pl n,2
134,0 block hunter ave,2
135,0 block hurlburt rd,1
136,0 block huron st,1
137,0 block intrepid ln,2
138,0 block irving ave,18
139,0 block ivy ridge rd,1
140,0 block james st,18
141,0 block jamesville ave,1
142,0 block jasper pl,9
143,0 block jean ave,1
144,0 block jefferson st,3
145,0 block jericho dr,1
146,0 block john st,1
147,0 block judson st,1
148,0 block kennedy st e,13
149,0 block kensington pl,1
150,0 block kirkpatrick st,1
151,0 block kirkwood pl,2
152,0 block kline st,1
153,0 block knaul st,1
154,0 block lacy pl,3
155,0 block lafayette rd,9
156,0 block lamson st,1
157,0 block lancaster ave,3
158,0 block landon ave,1
159,0 block latimer ter,1
160,0 block latter dr,1
161,0 block lawrence st,1
162,0 block lea ln,2
163,0 block light ct,1
164,0 block linwill ter,6
165,0 block lodi st,4
166,0 block loehr ave,1
167,0 block loma ave,1
168,0 block lombard ave,1
169,0 block longmeadow dr,1
170,0 block lydell st,1
171,0 block madison st,10
172,0 block malcolm st,1
173,0 block maple ter,2
174,0 block marcellus st,3
175,0 block marlett st,2
176,0 block marshall st,1
177,0 block mary st,3
178,0 block mcallister ave,1
179,0 block mcbride st n,11
180,0 block mcbride st s,9
181,0 block medora pl,1
182,0 block melrose ave,1
183,0 block merz ave,1
184,0 block midland ave,1
185,0 block milton ave,1
186,0 block montgomery st,9
187,0 block mooney ave,2
188,0 block mount olympus dr,32
189,0 block mulberry ter,1
190,0 block munson dr,3
191,0 block murray ave,1
192,0 block neutral ct,4
193,0 block oak pl,3
194,0 block oak st,2
195,0 block oakley dr e,1
196,0 block olive st,1
197,0 block onondaga st,3
198,0 block onondaga st e,44
199,0 block oriskany dr,1
200,0 block otisco st,2
201,0 block park ave,3
202,0 block park st,14
203,0 block parkview ave,1
204,0 block pastime dr,3
205,0 block pattison st,1
206,0 block polk st,1
207,0 block pond ln,2
208,0 block pond st,6
209,0 block pulaski st,1
210,0 block randall ave,1
211,0 block richmond ave,3
212,0 block rider ave,2
213,0 block riverdale dr,2
214,0 block roberts ave,1
215,0 block rockwood rd,2
216,0 block roney ln,65
217,0 block rosewood st,1
218,0 block rugby rd,1
219,0 block sabine st,4
220,0 block salina st n,12
221,0 block sarah loguen st,3
222,0 block schiller ave,3
223,0 block scott ave,1
224,0 block scottholm ter,1
225,0 block second north st,3
226,0 block sedgwick dr,2
227,0 block shelbourne pl,1
228,0 block sheldon ave,1
229,0 block sheridan pl,2
230,0 block shirley dr,1
231,0 block simon dr,1
232,0 block sims dr,3
233,0 block smith dr,5
234,0 block smith ln,30
235,0 block solar st,1
236,0 block spring st,4
237,0 block st anne dr,1
238,0 block st louis ave,1
239,0 block state st n,5
240,0 block state st s,3
241,0 block steuben st,1
242,0 block stewart ct,1
243,0 block stinard ave,1
244,0 block stone ct,1
245,0 block strand pl,3
246,0 block sunnycrest rd,7
247,0 block sunset ave,1
248,0 block teall ave,4
249,0 block thurgood ter,1
250,0 block townsend pl,1
251,0 block townsend st n,5
252,0 block townsend st s,6
253,0 block turtle st,2
254,0 block tyler ct,1
255,0 block tyson pl,3
256,0 block union ave,7
257,0 block upland rd,1
258,0 block valley dr,1
259,0 block victoria pl,2
260,0 block village dr,2
261,0 block village drive ext,1
262,0 block wadsworth st,2
263,0 block wall st,1
264,0 block walnut ave,1
265,0 block walnut pl,2
266,0 block walsh cir,4
267,0 block walton st,1
268,0 block warren st s,8
269,0 block washington st,1
270,0 block washington st e,1
271,0 block waverly ave,2
272,0 block wayne st,1
273,0 block weiser ct,1
274,0 block wendell ter,1
275,0 block westminster ave,1
276,0 block westmoreland ave,1
277,0 block whittier ave,1
278,0 block whitwell dr,4
279,0 block will ct,1
280,0 block willis ave,1
281,0 block williston ave,1
282,0 block wolf st,3
283,0 block wood ave,4
284,0 block woodbine ave,10
285,100 block academy green,1
286,100 block adams st e,1
287,100 block albert ter,1
288,100 block almond st,42
289,100 block alvord st s,1
290,100 block ames ave,1
291,100 block amherst ave,1
292,100 block amidon dr,2
293,100 block annetta st,3
294,100 block arnts pl,1
295,100 block arsenal dr,1
296,100 block ashdale ave,1
297,100 block avery ave,3
298,100 block baldwin ave,1
299,100 block ball cir,1
300,100 block beard ave,1
301,100 block beecher st,1
302,100 block belden ave,1
303,100 block bellevue ave,7
304,100 block benedict ave,2
305,100 block berger ave,1
306,100 block berkshire ave,1
307,100 block berwyn ave,2
308,100 block beverly rd,2
309,100 block bishop ave,1
310,100 block bissell st,1
311,100 block bissell st e,1
312,100 block blaine st,1
313,100 block blossom rd,8
314,100 block brace st,2
315,100 block bradford ct,1
316,100 block bradford st,2
317,100 block bradley st,2
318,100 block briggs st,1
319,100 block brooklea pl,1
320,100 block bryant ave,1
321,100 block bungalow ter,1
322,100 block burnet ave,3
323,100 block burnet park dr,1
324,100 block butternut st,20
325,100 block cadillac st,1
326,100 block calthrop ave,2
327,100 block canal st,1
328,100 block candee ave,4
329,100 block cannon st,2
330,100 block carbon st,2
331,100 block carbon st s,1
332,100 block carlisle st,1
333,100 block centennial dr,4
334,100 block charlotte st,1
335,100 block cheney st,4
336,100 block circle rd,1
337,100 block claire rd,5
338,100 block clarendon st,1
339,100 block college pl,11
340,100 block colvin st e,6
341,100 block comstock ave,1
342,100 block conklin ave,1
343,100 block cook ave,1
344,100 block coral ave,1
345,100 block cordova st,1
346,100 block cornell ave,1
347,100 block cortland pl,1
348,100 block court st,7
349,100 block coykendall ave,1
350,100 block crippen ave,4
351,100 block crippen pl,7
352,100 block crouse dr,9
353,100 block culbert st,4
354,100 block cumberland ave,1
355,100 block dearborn pl,3
356,100 block dell st,2
357,100 block delray ave,1
358,100 block dickerson st,22
359,100 block didama st,1
360,100 block doll pkwy,2
361,100 block durston ave,1
362,100 block edgehill rd,1
363,100 block edtim rd,13
364,100 block edwards ave n,1
365,100 block elliott st,1
366,100 block elmhurst ave,4
367,100 block elmwood ave,1
368,100 block erie blvd w,1
369,100 block erie st,1
370,100 block essex st,1
371,100 block euclid ave,3
372,100 block eureka st,2
373,100 block fage ave,1
374,100 block fairdale ave,1
375,100 block fairfield ave,1
376,100 block fairview ave,2
377,100 block fayette st,5
378,100 block fayette st e,5
379,100 block first north st,2
380,100 block fitch st,1
381,100 block fobes ave,3
382,100 block fordham rd,2
383,100 block fountain st,1
384,100 block franklin st s,1
385,100 block frisbie ct,1
386,100 block furman st,1
387,100 block gebhardt ave,2
388,100 block geddes st s,4
389,100 block genesee park dr,1
390,100 block genesee st,8
391,100 block genesee st e,2
392,100 block gere ave,1
393,100 block gertrude st,3
394,100 block gifford st,4
395,100 block glen ave,1
396,100 block glen ave e,1
397,100 block glencove rd n,2
398,100 block glencove rd s,1
399,100 block glenwood ave,7
400,100 block gordon ave,1
401,100 block grand ave,1
402,100 block grant blvd,6
403,100 block gray ave,3
404,100 block green st,8
405,100 block greenland dr,2
406,100 block grumbach ave,1
407,100 block harding pl,1
408,100 block harrison st,1
409,100 block hartson st,9
410,100 block hasbrouck st,1
411,100 block hatch st,1
412,100 block hawley ave,3
413,100 block hier ave,1
414,100 block highland st,4
415,100 block hillsboro pkwy,1
416,100 block hillsdale ave,2
417,100 block hobart ave,1
418,100 block hope ave,1
419,100 block hovey st,1
420,100 block ivy ridge rd,2
421,100 block james st,9
422,100 block jamesville ave,6
423,100 block jasper st,1
424,100 block jefferson st e,5
425,100 block john st,5
426,100 block josephine st,1
427,100 block kellogg st,3
428,100 block kenmore ave,1
429,100 block kennedy st,1
430,100 block kirk ave,1
431,100 block lafayette ave,3
432,100 block lafayette ave e,1
433,100 block lafayette rd,6
434,100 block lamson st,2
435,100 block lancaster ave,6
436,100 block larned st,1
437,100 block lawrence st,3
438,100 block lemoyne ave,5
439,100 block light ct,1
440,100 block lilac st,3
441,100 block lincoln ave,2
442,100 block linwill ter,2
443,100 block lodi st,1
444,100 block loehr ave,1
445,100 block lynhurst ave,2
446,100 block madison st,7
447,100 block magnolia st,1
448,100 block malcolm st,1
449,100 block malverne dr,1
450,100 block manor dr,1
451,100 block maple ter,1
452,100 block markland ave,1
453,100 block marshall st,8
454,100 block martin luther king e,7
455,100 block martin luther king w,12
456,100 block martin st,2
457,100 block mary st,2
458,100 block mather st,1
459,100 block maurice ave,2
460,100 block mayar st,2
461,100 block mcbride st n,1
462,100 block mcbride st s,1
463,100 block mclennan ave,5
464,100 block meadowbrook dr,1
465,100 block melrose ave,1
466,100 block midland ave,2
467,100 block milburn dr,1
468,100 block mildred ave,1
469,100 block miles ave,2
470,100 block milton ave,15
471,100 block minerva st,2
472,100 block mitchell ave,1
473,100 block monroe st,2
474,100 block monticello dr n,1
475,100 block morgan ave,1
476,100 block nelson st,1
477,100 block newbury hollow ln,2
478,100 block newell st,1
479,100 block nichols ave,1
480,100 block niven st,2
481,100 block normanor dr,2
482,100 block oak st,3
483,100 block oakdale dr,5
484,100 block olive st,2
485,100 block onondaga ave,3
486,100 block onondaga st,9
487,100 block orlando ave,1
488,100 block ostrander ave,1
489,100 block palmer ave,1
490,100 block park st,6
491,100 block parkview ave,1
492,100 block parkway dr,2
493,100 block pattison st,1
494,100 block paul ave,1
495,100 block peck ave,4
496,100 block pennsylvania ave,1
497,100 block pershing ave,2
498,100 block pleasant ave,2
499,100 block polk st,1
500,100 block pond ln,1
501,100 block pond st,2
502,100 block putnam st,1
503,100 block radisson ct,3
504,100 block redfield pl,1
505,100 block richardson ave,3
506,100 block rider ave,2
507,100 block riverdale dr,3
508,100 block rockwood pl,1
509,100 block rose ave,1
510,100 block rosemont dr,1
511,100 block rugby rd,1
512,100 block sabine st,2
513,100 block salina st n,8
514,100 block salina st s,9
515,100 block salt springs rd,15
516,100 block schiller ave,11
517,100 block schoeck ave,1
518,100 block schoeneck ct,1
519,100 block scottholm ter,1
520,100 block sedgwick rd,2
521,100 block sedgwick st,2
522,100 block seeley ave,2
523,100 block seneca dr,3
524,100 block seneca tpke,63
525,100 block seventh north st,2
526,100 block seward st,3
527,100 block sheridan pl,1
528,100 block shotwell park,4
529,100 block simon dr,6
530,100 block sims dr,15
531,100 block slayton ave,1
532,100 block smith dr,4
533,100 block south ave,4
534,100 block spring st,8
535,100 block springfield rd,7
536,100 block st louis ave,3
537,100 block stafford ave,1
538,100 block state fair blvd,3
539,100 block state st n,1
540,100 block state st s,2
541,100 block stinard ave,1
542,100 block stolp ave,4
543,100 block teall ave,7
544,100 block tejah ave,2
545,100 block townsend pl,1
546,100 block tyler ct,3
547,100 block vann st,2
548,100 block victoria pl,1
549,100 block village dr,1
550,100 block wadsworth st,8
551,100 block wall st,1
552,100 block walton st,5
553,100 block warham st,3
554,100 block warrington rd,2
555,100 block washington sq,1
556,100 block water st e,5
557,100 block weiser ct,1
558,100 block wendell ter,1
559,100 block westcott st,1
560,100 block westmoreland ave,1
561,100 block whittier ave,2
562,100 block willis ave,2
563,100 block willumae dr,1
564,100 block wiman ave,1
565,100 block winding ridge rd,1
566,100 block winthrop rd,1
567,100 block wolcott ter,1
568,100 block wolf st,9
569,100 block woodlawn ter,1
570,100 block woodruff ave,1
571,1000 block academy green,1
572,1000 block adams st e,47
573,1000 block allen st,2
574,1000 block alvord st n,7
575,1000 block ash st,6
576,1000 block avery ave,2
577,1000 block ballantyne rd,2
578,1000 block barnes ave,1
579,1000 block bear st,2
580,1000 block beech st s,5
581,1000 block belden ave,4
582,1000 block bellevue ave,2
583,1000 block blk park st,1
584,1000 block brighton ave,1
585,1000 block brighton ave e,113
586,1000 block burnet ave,4
587,1000 block butternut st,14
588,1000 block catherine st,3
589,1000 block centennial dr,6
590,1000 block clinton st n,8
591,1000 block colvin st,3
592,1000 block comstock ave,45
593,1000 block court st,4
594,1000 block crawford ave,3
595,1000 block crouse ave s,13
596,1000 block danforth st,8
597,1000 block darlington rd,1
598,1000 block division st e,2
599,1000 block emerson ave,13
600,1000 block erie blvd e,5
601,1000 block erie blvd w,5
602,1000 block euclid ave,1
603,1000 block fayette st e,3
604,1000 block first north st,2
605,1000 block geddes st n,3
606,1000 block geddes st s,3
607,1000 block geddes st to eb i 690 ramp n,1
608,1000 block genesee st,1
609,1000 block genesee st e,23
610,1000 block glenwood ave,2
611,1000 block harrison st,1
612,1000 block hawley ave,4
613,1000 block hazelwood ave,3
614,1000 block hiawatha blvd e,2
615,1000 block hiawatha blvd w,1
616,1000 block hickory st,11
617,1000 block highland st,5
618,1000 block irving ave,49
619,1000 block ivy ridge rd,1
620,1000 block james st,142
621,1000 block kirkpatrick st,8
622,1000 block lancaster ave,4
623,1000 block laurel st e,1
624,1000 block lemoyne ave,5
625,1000 block livingston ave,3
626,1000 block lodi st,30
627,1000 block madison st,4
628,1000 block marcellus st,3
629,1000 block maryland ave,1
630,1000 block mcbride st n,3
631,1000 block milton ave,6
632,1000 block mountainview ave,1
633,1000 block nb i 81,3
634,1000 block nb i 81 to eb i 690,1
635,1000 block oak st,6
636,1000 block onondaga st,22
637,1000 block ostrom ave,2
638,1000 block oswego st,1
639,1000 block otisco st,1
640,1000 block park ave,2
641,1000 block park st,15
642,1000 block pond st,18
643,1000 block salina st n,7
644,1000 block salina st s,32
645,1000 block salt springs rd,39
646,1000 block sb i 81,2
647,1000 block second north st,3
648,1000 block seeley rd,2
649,1000 block seneca tpke,1
650,1000 block south ave,4
651,1000 block spring st,3
652,1000 block state st s,4
653,1000 block stinard ave,2
654,1000 block summit ave,1
655,1000 block sumner ave,1
656,1000 block tallman st,1
657,1000 block teall ave,6
658,1000 block townsend st n,6
659,1000 block tully st,1
660,1000 block university ave,24
661,1000 block valley dr,3
662,1000 block velasko rd,1
663,1000 block wadsworth st,8
664,1000 block walnut ave,13
665,1000 block warren st s,9
666,1000 block washington st e,4
667,1000 block west st s,1
668,1000 block westcott st,3
669,1000 block westmoreland ave,3
670,1000 block wilbur ave s,1
671,1000 block will ct,1
672,1000 block willis ave,4
673,1000 block willow st e,55
674,1000 block winton st,2
675,1000 block wolf st,3
676,1100 block ,2
677,1100 block ackerman ave,5
678,1100 block adams st  at almond st e,1
679,1100 block adams st  at e,1
680,1100 block adams st  at monroe st e,1
681,1100 block adams st  at s crouse av e,2
682,1100 block adams st  at s salina st e,1
683,1100 block adams st  at sarah loguen st e,1
684,1100 block ainsley dr  at jamesville av,1
685,1100 block albert rd  at demong dr,1
686,1100 block albert rd  at salt springs rd,1
687,1100 block almond st  at erie blvd e,1
688,1100 block alvord st  at beecher st s,1
689,1100 block alvord st  at danforth st n,2
690,1100 block alvord st  at e laurel st s,2
691,1100 block alvord st  at john st s,1
692,1100 block alvord st n,2
693,1100 block ash st  at lodi st,1
694,1100 block ash st  at n state st,1
695,1100 block ash st at,1
696,1100 block avery ave,5
697,1100 block avery ave  at morgan av,1
698,1100 block avon rd  at nichols av,1
699,1100 block bank aly  at e jefferson st,1
700,1100 block bear st  at genant dr,3
701,1100 block bear st  at solar st,1
702,1100 block bear st  at spencer st,2
703,1100 block bear st  at sunset av,1
704,1100 block beattie st  at salt springs rd,1
705,1100 block beecher st  at jasper st,1
706,1100 block belden ave,2
707,1100 block belden ave  at n geddes st,1
708,1100 block bellevue ave,4
709,1100 block bellevue ave  at lincoln av,1
710,1100 block bellevue ave  at onondaga av,1
711,1100 block bellevue ave  at s geddes st,1
712,1100 block bellevue ave  at sterling av,1
713,1100 block bennington dr  at menlo dr,1
714,1100 block berkeley dr  at terrace rd,1
715,1100 block boyden st  at teall av,1
716,1100 block brighton ave  at ainsley dr e,1
717,1100 block brighton ave  at e,1
718,1100 block brighton ave  at intrepid ln e,1
719,1100 block brighton ave  at midland av,2
720,1100 block brighton ave  at rock cut rd e,3
721,1100 block brighton ave  at thurber st e,1
722,1100 block brighton ave e,44
723,1100 block burdick ave  at court st,1
724,1100 block burnet ave,3
725,1100 block burnet ave  at burns av,1
726,1100 block burnet ave  at erickson st,1
727,1100 block burnet ave  at n beech st,1
728,1100 block burnet ave  at n crouse av,1
729,1100 block burnet ave  at peat st,1
730,1100 block burt st  at pavilion ter,1
731,1100 block burt st  at s mcbride st,1
732,1100 block butternut st,5
733,1100 block butternut st  at catherine st,1
734,1100 block butternut st  at hartley st,1
735,1100 block butternut st  at hood av,1
736,1100 block butternut st  at josephine st,1
737,1100 block butternut st  at lodi st,2
738,1100 block butternut st  at n franklin st,1
739,1100 block butternut st  at n townsend st,1
740,1100 block butternut st  at park st,1
741,1100 block butternut st  at s alvord st,3
742,1100 block butternut st  at spring st,1
743,1100 block cadillac st  at wadsworth st,1
744,1100 block cadwell st  at grand av,1
745,1100 block caleb ave,6
746,1100 block calthrop ave  at cannon st,1
747,1100 block canal st  at walnut av,1
748,1100 block cannon st  at w brighton av,1
749,1100 block carbon st,2
750,1100 block carbon st  at court st,1
751,1100 block catawba st  at lodi st,1
752,1100 block catherine st  at james st,1
753,1100 block centennial dr  at onondaga av,1
754,1100 block charmouth dr  at robineau rd,1
755,1100 block cleveland ave  at first north st,1
756,1100 block clinton st  at dickerson st s,2
757,1100 block clinton st  at granger st s,1
758,1100 block clinton st  at tallman st s,1
759,1100 block clinton st  at temple st s,3
760,1100 block clinton st  at w adams st s,1
761,1100 block clinton st  at w fayette st s,2
762,1100 block clinton st  at w jefferson st s,1
763,1100 block clinton st  at w onondaga st s,1
764,1100 block clinton st  at w taylor st s,1
765,1100 block clinton st s,2
766,1100 block col eileen collins blvd,4
767,1100 block collingwood ave  at james st n,1
768,1100 block columbus ave  at dell st,1
769,1100 block colvin st  at cannon st,1
770,1100 block colvin st  at lancaster av e,1
771,1100 block colvin st  at s salina st e,1
772,1100 block colvin st e,1
773,1100 block comstock ave,2
774,1100 block comstock ave  at euclid av,1
775,1100 block comstock ave at madison st,1
776,1100 block court st  at first north st,1
777,1100 block croly st  at e fayette st,1
778,1100 block crouse ave  at e adams st s,1
779,1100 block crouse ave  at e fayette st s,2
780,1100 block crouse ave  at e genesee st s,1
781,1100 block crouse ave  at lodi st n,1
782,1100 block crouse ave  at madison st s,3
783,1100 block crouse ave s,1
784,1100 block culbert st  at first north st,1
785,1100 block cumberland ave,1
786,1100 block danforth st,3
787,1100 block davis st  at barrett st,1
788,1100 block dead end  at s west st,1
789,1100 block delaware st  at kellogg st,1
790,1100 block delaware st  at s geddes st,3
791,1100 block delaware st  at w onondaga st,1
792,1100 block dewey ave  at waite av,1
793,1100 block dewitt st,3
794,1100 block dewitt st  at james st,2
795,1100 block dickerson st  at s clinton st,1
796,1100 block division st  at carbon st e,1
797,1100 block division st  at n state st e,1
798,1100 block dorothy st  at vine st,1
799,1100 block douglas st  at graves st,1
800,1100 block eastview ave dr  at onondaga av,1
801,1100 block eb i 690  at midler ave from eb i,1
802,1100 block eb i 690  at n geddes st to eb i,1
803,1100 block eb i 690  at n mcbride st to eb i,1
804,1100 block eb i 690  at teall ave from eb i,3
805,1100 block eb i 690  at west st from eb i 69,2
806,1100 block edwards ave  at james st s,1
807,1100 block eldorado st  at hixson av,1
808,1100 block elm st  at hawley av,1
809,1100 block elmwood ave  at glenwood av,1
810,1100 block emerson ave,6
811,1100 block emerson ave  at erie blvd w,1
812,1100 block erie blvd e  at hampton inn drwy,1
813,1100 block erie blvd e  at lodi st,1
814,1100 block erie blvd e  at peat st,2
815,1100 block erie blvd e  at s state st,1
816,1100 block erie blvd e  at thompson rd,2
817,1100 block erie blvd w  at hiawatha blvd w,1
818,1100 block erie blvd w  at n franklin st,1
819,1100 block erie blvd w at nb west street arter,1
820,1100 block euclid ave,1
821,1100 block euclid ave  at comstock av,1
822,1100 block euclid ave  at crawford av,1
823,1100 block euclid ave  at ostrom av,2
824,1100 block eureka st st  at w belden av,1
825,1100 block exchange st  at n salina st,1
826,1100 block fayette st,1
827,1100 block fayette st  at erie blvd w,1
828,1100 block fayette st  at nb west street arter,1
829,1100 block fayette st  at s townsend st e,1
830,1100 block fayette st  at westcott st e,1
831,1100 block fellows ave  at harvard pl,1
832,1100 block first north st,2
833,1100 block first north st  at delong av,1
834,1100 block fitch st  at s geddes st,1
835,1100 block ford ave  at ballantyne rd,1
836,1100 block forest ave  at cannon st,1
837,1100 block fountain st  at gertrude st,1
838,1100 block franklin st  at erie blvd w n,1
839,1100 block franklin st  at evans st n,2
840,1100 block franklin st  at herald pl n,1
841,1100 block front of 1000 col eileen collins blvd,2
842,1100 block front of 1074 s clinton st,1
843,1100 block front of 1161 grant blvd,1
844,1100 block front of 136 n geddes st,1
845,1100 block front of 136 nelson st,1
846,1100 block front of 1409 w genesee st,1
847,1100 block front of 159 merritt av,1
848,1100 block front of 175 eliz.blackwell st,1
849,1100 block front of 212 s alvord st,1
850,1100 block front of 226 teall ave,1
851,1100 block front of 259 w fayette st,1
852,1100 block front of 290 w jefferson st,1
853,1100 block front of 300 burt st,2
854,1100 block front of 304 e onondaga st,1
855,1100 block front of 318 marcellus st,1
856,1100 block front of 408 bear st,1
857,1100 block front of 428 westmoreland ave,1
858,1100 block front of 501 avery ave,1
859,1100 block front of 550 s clinton st,1
860,1100 block front of 605 valley dr,1
861,1100 block front of 701 e genesee st,1
862,1100 block geddes st  at arden dr s,1
863,1100 block geddes st  at delaware st s,1
864,1100 block geddes st  at fitch st s,1
865,1100 block geddes st  at gifford st s,2
866,1100 block geddes st  at liberty st n,1
867,1100 block geddes st  at richmond av n,2
868,1100 block geddes st  at w onondaga st s,1
869,1100 block geddes st s,3
870,1100 block genant dr  at w bear st,1
871,1100 block genesee st,4
872,1100 block genesee st  at almond st e,1
873,1100 block genesee st  at dewey av,1
874,1100 block genesee st  at maple st e,1
875,1100 block genesee st  at n geddes st,1
876,1100 block genesee st  at n west st,1
877,1100 block genesee st  at sackett st,1
878,1100 block genesee st  at state fair blvd,1
879,1100 block genesee st at e,1
880,1100 block genesee st e,3
881,1100 block gertrude st  at lodi st,1
882,1100 block gifford st  at ontario st,1
883,1100 block gifford st  at s west st,1
884,1100 block glen ave  at s salina st,1
885,1100 block glencove rd  at mosley dr,1
886,1100 block glenwood ave,7
887,1100 block glenwood ave  at mcdonald rd,1
888,1100 block grand ave  at cadwell st,2
889,1100 block grand ave  at delaware st,1
890,1100 block grand ave  at herriman st,1
891,1100 block grand ave  at velasko rd,1
